years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
2950,-30.613963636363636,276.26851851851853,4.7,7.906,3.641565857843137
2960,-30.5988,276.11111111111114,3.0,7.94,3.620769200743034
2970,-30.578363636363637,275.9537037037037,0.9,7.982,3.6002092890712074
2980,-30.56296,275.7962962962963,2.8,7.944,3.5798911201651187
2990,-30.570133333333334,275.6388888888889,4.9,7.902,3.5598196913622293
3000,-30.623272727272727,275.4814814814815,3.3,7.934,3.54
3010,-30.682036363636364,275.3240740740741,2.4,7.952,3.5203795902791626
3020,-30.6904,275.1666666666667,4.5,7.91,3.500901025324028
3030,-30.682763636363635,275.0092592592593,5.4,7.892,3.481561830857428
3040,-30.704254545454546,274.85185185185185,6.2,7.876,3.4623595326021936
3050,-30.639963636363635,274.69444444444446,8.3,7.834,3.443291656281157
3060,-30.71250909090909,274.63417085427136,8.5,7.83,3.424355727617148
3070,-30.83576,274.71959798994976,7.5,7.85,3.4055492723330008
3080,-30.83501818181818,274.80502512562816,4.7,7.906,3.3868698161515454
3090,-30.704472727272726,274.89045226130656,5.4,7.892,3.368314884795613
3100,-30.496,274.97587939698496,9.8,7.804,3.3498820039880357
3110,-30.276466666666668,275.0613065326633,8.8,7.824,3.3315686994516454
3120,-30.1508,275.1467336683417,9.5,7.81,3.313372496909272
3130,-30.099107692307694,275.2321608040201,12.8,7.744,3.295290922083749
3140,-30.024333333333335,275.3175879396985,13.4,7.732,3.2773215006979064
3150,-29.921692307692307,275.4030150753769,12.7,7.746,3.259461758474576
3160,-29.800545454545453,275.4884422110553,12.9,7.742,3.24170922113659
3170,-29.68283333333333,275.57386934673366,11.0,7.78,3.2240614144067794
3180,-29.615166666666667,275.65929648241206,10.5,7.79,3.206515864007976
3190,-29.5655,275.74472361809046,11.3,7.774,3.189070095663011
3200,-29.531345454545455,275.83015075376886,14.3,7.714,3.1717216350947157
3210,-29.473679999999998,275.91557788944726,13.2,7.736,3.154468008025922
3220,-29.363046153846152,276.00100502512566,12.1,7.758,3.137306740179462
3230,-29.22824,276.086432160804,12.6,7.748,3.120235357278166
3240,-29.10767272727273,276.1718592964824,12.7,7.746,3.1032513850448655
3250,-29.036933333333334,276.2572864321608,12.6,7.748,3.086352349202393
3260,-28.9916,275.72857142857146,11.7,7.766,3.0695357754735797
3270,-28.934742857142854,274.5857142857143,11.4,7.772,3.0527991895812563
3280,-28.857,273.4428571428572,11.0,7.78,3.036140117248255
3290,-28.782363636363637,273.1425675675676,15.5,7.69,3.019556084197408
3300,-28.778327272727275,273.2033783783784,18.8,7.624,3.0030446161515454
3310,-28.908,273.2641891891892,21.6,7.568,2.9866032388334993
3320,-29.152,273.325,22.1,7.558,2.9702294779661016
3330,-29.502181818181818,273.3858108108108,20.8,7.584,2.9539208592721833
3340,-29.6797,273.44662162162166,19.5,7.61,2.9376749084745764
3350,-29.677563636363637,273.50743243243244,19.3,7.614,2.9214891512961114
3360,-29.678,273.5682432432433,18.4,7.632,2.905361113459621
3370,-29.76592727272727,273.62905405405405,16.5,7.67,2.889288320687936
3380,-29.932666666666666,273.6898648648649,15.3,7.694,2.873268298703888
3390,-30.042,273.75067567567567,14.7,7.706,2.857298573230309
3400,-30.06366666666667,273.8114864864865,13.6,7.728,2.8413766699900296
3410,-30.0736,273.8722972972973,12.9,7.742,2.825500114705882
3420,-30.093866666666667,273.9331081081081,13.7,7.726,2.809666433100698
3430,-30.098166666666668,273.9939189189189,17.3,7.654,2.793873150897308
3440,-30.1056,274.0927835051546,19.0,7.62,2.778117793818544
3450,-30.162153846153846,274.1958762886598,15.7,7.686,2.7623978875872384
3460,-30.25969230769231,274.29896907216494,12.3,7.754,2.746710957926221
3470,-30.28703448275862,274.4020618556701,11.4,7.772,2.731054530558325
3480,-30.2968275862069,274.50515463917526,13.2,7.736,2.7154261312063808
3490,-30.306620689655173,274.6082474226804,10.8,7.784,2.6998232855932205
3500,-30.35307368421053,274.7113402061856,9.8,7.804,2.684243519441675
3510,-30.4036,274.8144329896907,11.8,7.764,2.6686843584745765
3520,-30.535933333333332,274.91752577319585,11.9,7.762,2.6531433284147554
3530,-30.57461818181818,274.97241379310344,14.8,7.704,2.637617954985045
3540,-30.51912727272727,274.8344827586207,16.5,7.67,2.6221057639082748
3550,-30.420923076923078,274.6965517241379,17.3,7.654,2.606604280907278
3560,-30.3241,274.5586206896552,17.5,7.65,2.5911110317048847
3570,-30.24866666666667,274.4206896551724,14.9,7.702,2.5756235420239277
3580,-30.163333333333334,274.28275862068966,13.0,7.74,2.560139337587238
3590,-30.0897,274.1448275862069,13.4,7.732,2.544655944117647
3600,-30.017366666666668,274.00689655172414,13.9,7.722,2.529170887337986
3610,-29.9052,273.86896551724135,16.9,7.662,2.513681692971087
3620,-29.812666666666665,273.7310344827586,17.2,7.656,2.49818588673978
3630,-29.86264,273.5931034482758,18.1,7.638,2.4826809943668993
3640,-29.907306666666667,273.4551724137931,16.5,7.67,2.4671645415752743
3650,-29.935573333333334,273.35102040816327,13.9,7.722,2.451634054087737
3660,-30.051028571428574,273.269387755102,16.2,7.676,2.4360870576271187
3670,-30.189054545454546,273.1877551020408,21.1,7.578,2.420521077916251
3680,-30.3184,273.1061224489796,22.6,7.548,2.404933640677966
3690,-30.408307692307694,273.0244897959184,19.4,7.612,2.389322271635095
3700,-30.469846153846152,272.9070796460177,16.3,7.674,2.373684496510468
